date,product,category,sales,quantity,price,region,customer_type
2023-01-01,Laptop,Electronics,1200.50,1,1200.50,North,Corporate
2023-01-02,Mouse,Electronics,25.99,2,12.995,South,Retail
2023-01-03,Keyboard,Electronics,89.99,1,89.99,East,Retail
2023-01-04,Monitor,Electronics,450.00,1,450.00,West,Corporate
2023-01-05,Desk,Furniture,299.99,1,299.99,North,Retail
2023-01-06,Chair,Furniture,189.99,1,189.99,South,Corporate
2023-01-07,Headphones,Electronics,79.99,1,79.99,East,Retail
2023-01-08,Webcam,Electronics,49.99,1,49.99,West,Corporate
2023-01-09,Laptop,Electronics,1350.00,1,1350.00,North,Retail
2023-01-10,Mouse,Electronics,29.98,2,14.99,South,Corporate
2023-01-11,Keyboard,Electronics,95.00,1,95.00,East,Retail
2023-01-12,Monitor,Electronics,425.00,1,425.00,West,Corporate
2023-01-13,Desk,Furniture,325.00,1,325.00,North,Retail
2023-01-14,Chair,Furniture,175.00,1,175.00,South,Corporate
2023-01-15,Headphones,Electronics,89.99,1,89.99,East,Retail
2023-01-16,Webcam,Electronics,45.00,1,45.00,West,Corporate
2023-01-17,Laptop,Electronics,1100.00,1,1100.00,North,Retail
2023-01-18,Mouse,Electronics,23.98,2,11.99,South,Corporate
2023-01-19,Keyboard,Electronics,85.00,1,85.00,East,Retail
2023-01-20,Monitor,Electronics,475.00,1,475.00,West,Corporate
2023-01-21,Desk,Furniture,275.00,1,275.00,North,Retail
2023-01-22,Chair,Furniture,199.99,1,199.99,South,Corporate
2023-01-23,Headphones,Electronics,69.99,1,69.99,East,Retail
2023-01-24,Webcam,Electronics,55.00,1,55.00,West,Corporate
2023-01-25,Laptop,Electronics,1250.00,1,1250.00,North,Retail
2023-01-26,Mouse,Electronics,27.98,2,13.99,South,Corporate
2023-01-27,Keyboard,Electronics,92.00,1,92.00,East,Retail
2023-01-28,Monitor,Electronics,440.00,1,440.00,West,Corporate
2023-01-29,Desk,Furniture,310.00,1,310.00,North,Retail
2023-01-30,Chair,Furniture,185.00,1,185.00,South,Corporate
2023-02-01,Headphones,Electronics,75.00,1,75.00,East,Retail
2023-02-02,Webcam,Electronics,42.00,1,42.00,West,Corporate
2023-02-03,Laptop,Electronics,1300.00,1,1300.00,North,Retail
2023-02-04,Mouse,Electronics,31.98,2,15.99,South,Corporate
2023-02-05,Keyboard,Electronics,88.00,1,88.00,East,Retail
2023-02-06,Monitor,Electronics,460.00,1,460.00,West,Corporate
2023-02-07,Desk,Furniture,290.00,1,290.00,North,Retail
2023-02-08,Chair,Furniture,195.00,1,195.00,South,Corporate
2023-02-09,Headphones,Electronics,82.00,1,82.00,East,Retail
2023-02-10,Webcam,Electronics,48.00,1,48.00,West,Corporate
2023-02-11,Tablet,Electronics,350.00,1,350.00,North,Corporate
2023-02-12,Phone,Electronics,699.00,1,699.00,South,Retail
2023-02-13,Tablet,Electronics,375.00,1,375.00,East,Corporate
2023-02-14,Phone,Electronics,725.00,1,725.00,West,Retail
2023-02-15,Tablet,Electronics,325.00,1,325.00,North,Corporate
2023-02-16,Phone,Electronics,675.00,1,675.00,South,Retail
2023-02-17,Tablet,Electronics,400.00,1,400.00,East,Corporate
2023-02-18,Phone,Electronics,750.00,1,750.00,West,Retail
2023-02-19,Tablet,Electronics,360.00,1,360.00,North,Corporate
2023-02-20,Phone,Electronics,650.00,1,650.00,South,Retail
